time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.338,0.272,0.961
0.020,-0.339,0.274,0.970
0.040,-0.340,0.274,0.966
0.060,-0.339,0.273,0.968
0.080,-0.339,0.273,0.968
0.100,-0.339,0.273,0.968
0.120,-0.339,0.274,0.968
0.140,-0.339,0.273,0.969
0.160,-0.339,0.274,0.969
0.180,-0.340,0.276,0.967
0.200,-0.339,0.275,0.965
0.220,-0.338,0.273,0.965
0.240,-0.339,0.273,0.966
0.260,-0.340,0.275,0.969
0.280,-0.339,0.274,0.967
0.300,-0.341,0.275,0.967
0.320,-0.341,0.274,0.967
0.340,-0.339,0.274,0.967
0.360,-0.339,0.274,0.968
0.380,-0.339,0.273,0.968
0.400,-0.339,0.274,0.967
0.420,-0.339,0.274,0.967
0.440,-0.339,0.275,0.968
0.460,-0.339,0.275,0.968
0.480,-0.339,0.274,0.967
0.500,-0.338,0.274,0.967
0.520,-0.339,0.274,0.968
0.540,-0.338,0.273,0.968
0.560,-0.340,0.276,0.967
0.580,-0.341,0.275,0.968
0.600,-0.340,0.276,0.967
0.620,-0.339,0.274,0.968
0.640,-0.340,0.273,0.968
0.660,-0.339,0.273,0.969
0.680,-0.339,0.276,0.968
0.700,-0.339,0.274,0.968
0.720,-0.339,0.274,0.969
0.740,-0.339,0.273,0.968
0.760,-0.339,0.274,0.968
0.780,-0.339,0.273,0.967
0.800,-0.339,0.273,0.967
0.820,-0.339,0.273,0.968
0.840,-0.338,0.274,0.967
0.860,-0.339,0.274,0.966
0.880,-0.339,0.274,0.968
0.900,-0.339,0.274,0.967
0.920,-0.340,0.273,0.966
0.940,-0.338,0.274,0.965
0.960,-0.340,0.274,0.966
0.980,-0.340,0.273,0.966
1.000,-0.340,0.274,0.967
1.020,-0.340,0.274,0.969
1.040,-0.339,0.274,0.968
1.060,-0.338,0.274,0.969
1.080,-0.339,0.275,0.968
1.100,-0.340,0.274,0.968
1.120,-0.339,0.274,0.969
1.140,-0.339,0.275,0.967
1.160,-0.338,0.274,0.968
1.180,-0.338,0.273,0.969
1.200,-0.339,0.273,0.968
1.220,-0.340,0.274,0.968
1.240,-0.339,0.274,0.967
1.260,-0.339,0.275,0.966
1.280,-0.340,0.274,0.967
1.300,-0.339,0.274,0.967
1.320,-0.339,0.274,0.966
1.340,-0.340,0.274,0.968
1.360,-0.340,0.274,0.968
1.380,-0.340,0.275,0.968
1.400,-0.339,0.275,0.968
1.420,-0.340,0.273,0.967
1.440,-0.339,0.274,0.967
1.460,-0.340,0.273,0.968
1.480,-0.340,0.274,0.967
1.500,-0.339,0.274,0.966
1.520,-0.339,0.272,0.969
1.540,-0.339,0.274,0.967
1.560,-0.339,0.273,0.967
1.580,-0.339,0.273,0.968
1.600,-0.341,0.273,0.968
1.620,-0.340,0.272,0.970
1.640,-0.341,0.273,0.969
1.660,-0.339,0.275,0.968
1.680,-0.339,0.274,0.969
1.700,-0.340,0.273,0.968
1.720,-0.341,0.274,0.969
1.740,-0.340,0.276,0.969
1.760,-0.338,0.274,0.967
1.780,-0.339,0.274,0.967
1.800,-0.338,0.275,0.969
1.820,-0.340,0.274,0.968
1.840,-0.340,0.275,0.969
1.860,-0.340,0.273,0.968
1.880,-0.338,0.272,0.967
1.900,-0.338,0.273,0.969
1.920,-0.338,0.274,0.970
1.940,-0.339,0.274,0.967
1.960,-0.339,0.273,0.966
1.980,-0.341,0.274,0.967
2.000,-0.338,0.274,0.967
2.020,-0.339,0.272,0.967
2.040,-0.340,0.273,0.968
2.060,-0.340,0.274,0.968
2.080,-0.341,0.274,0.969
2.100,-0.340,0.275,0.968
2.120,-0.339,0.274,0.966
2.140,-0.340,0.274,0.966
2.160,-0.340,0.274,0.968
2.180,-0.339,0.273,0.968
2.200,-0.339,0.274,0.968
2.220,-0.339,0.273,0.969
2.240,-0.339,0.274,0.968
2.260,-0.339,0.273,0.966
2.280,-0.341,0.274,0.968
2.300,-0.340,0.275,0.968
2.320,-0.339,0.273,0.968
2.340,-0.339,0.273,0.965
2.360,-0.340,0.275,0.969
2.380,-0.340,0.275,0.969
2.400,-0.339,0.274,0.967
2.420,-0.340,0.274,0.966
2.440,-0.339,0.274,0.965
2.460,-0.340,0.275,0.967
2.480,-0.339,0.276,0.969
2.500,-0.339,0.274,0.970
2.520,-0.337,0.273,0.968
2.540,-0.336,0.272,0.968
2.560,-0.330,0.269,0.968
2.580,-0.329,0.267,0.969
2.600,-0.342,0.274,0.966
2.620,-0.344,0.278,0.968
2.640,-0.333,0.274,0.962
2.660,-0.338,0.270,0.976
2.680,-0.328,0.267,0.963
2.700,-0.330,0.265,0.968
2.720,-0.344,0.278,0.958
2.740,-0.365,0.287,0.953
2.760,-0.366,0.300,0.958
2.780,-0.400,0.315,0.941
2.800,-0.405,0.319,0.939
2.820,-0.408,0.320,0.941
2.840,-0.412,0.327,0.938
2.860,-0.407,0.324,0.938
2.880,-0.408,0.323,0.937
2.900,-0.422,0.334,0.931
