time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.519,0.253,-0.870
0.020,-0.525,0.257,-0.879
0.040,-0.523,0.256,-0.877
0.060,-0.524,0.256,-0.877
0.080,-0.524,0.256,-0.877
0.100,-0.523,0.257,-0.877
0.120,-0.523,0.256,-0.875
0.140,-0.522,0.255,-0.876
0.160,-0.523,0.256,-0.876
0.180,-0.523,0.257,-0.876
0.200,-0.523,0.257,-0.876
0.220,-0.523,0.255,-0.877
0.240,-0.523,0.254,-0.877
0.260,-0.524,0.257,-0.878
0.280,-0.523,0.256,-0.876
0.300,-0.523,0.257,-0.877
0.320,-0.523,0.256,-0.875
0.340,-0.524,0.256,-0.876
0.360,-0.522,0.256,-0.877
0.380,-0.522,0.257,-0.878
0.400,-0.523,0.256,-0.877
0.420,-0.524,0.256,-0.877
0.440,-0.522,0.256,-0.877
0.460,-0.524,0.255,-0.876
0.480,-0.525,0.256,-0.877
0.500,-0.523,0.255,-0.877
0.520,-0.523,0.255,-0.877
0.540,-0.522,0.255,-0.875
0.560,-0.521,0.257,-0.876
0.580,-0.523,0.256,-0.875
0.600,-0.523,0.256,-0.877
0.620,-0.524,0.256,-0.879
0.640,-0.523,0.254,-0.875
0.660,-0.525,0.257,-0.880
0.680,-0.522,0.257,-0.873
0.700,-0.524,0.255,-0.875
0.720,-0.524,0.256,-0.879
0.740,-0.520,0.258,-0.875
0.760,-0.524,0.256,-0.877
0.780,-0.524,0.254,-0.876
0.800,-0.522,0.257,-0.876
0.820,-0.523,0.257,-0.878
0.840,-0.523,0.254,-0.876
0.860,-0.524,0.257,-0.877
0.880,-0.523,0.257,-0.876
0.900,-0.525,0.255,-0.875
0.920,-0.524,0.256,-0.876
0.940,-0.521,0.256,-0.876
0.960,-0.523,0.255,-0.875
0.980,-0.524,0.256,-0.878
1.000,-0.522,0.256,-0.875
1.020,-0.525,0.255,-0.878
1.040,-0.524,0.255,-0.875
1.060,-0.522,0.254,-0.876
1.080,-0.522,0.256,-0.876
1.100,-0.522,0.256,-0.875
1.120,-0.523,0.256,-0.877
1.140,-0.523,0.257,-0.878
1.160,-0.522,0.256,-0.874
1.180,-0.523,0.255,-0.876
1.200,-0.524,0.256,-0.876
1.220,-0.523,0.256,-0.875
1.240,-0.523,0.255,-0.877
1.260,-0.524,0.256,-0.877
1.280,-0.524,0.257,-0.877
1.300,-0.524,0.255,-0.878
1.320,-0.523,0.256,-0.874
1.340,-0.523,0.257,-0.877
1.360,-0.522,0.255,-0.876
1.380,-0.522,0.256,-0.877
1.400,-0.523,0.257,-0.876
1.420,-0.522,0.257,-0.874
1.440,-0.522,0.256,-0.873
1.460,-0.524,0.255,-0.877
1.480,-0.523,0.255,-0.876
1.500,-0.522,0.256,-0.876
1.520,-0.522,0.256,-0.878
1.540,-0.523,0.256,-0.875
1.560,-0.523,0.255,-0.877
1.580,-0.523,0.257,-0.876
1.600,-0.524,0.257,-0.876
1.620,-0.523,0.255,-0.876
1.640,-0.523,0.255,-0.875
