time,x-acceleration,y-acceleration,z-acceleration
0.000,0.499,0.867,-0.005
0.020,0.511,0.877,-0.005
0.040,0.515,0.869,-0.010
0.060,0.518,0.864,-0.019
0.080,0.527,0.863,-0.016
0.100,0.521,0.861,-0.007
0.120,0.514,0.866,-0.004
0.140,0.521,0.870,-0.015
0.160,0.519,0.868,-0.012
0.180,0.512,0.867,-0.006
0.200,0.508,0.874,-0.009
0.220,0.507,0.876,-0.011
0.240,0.499,0.889,-0.013
0.260,0.497,0.882,-0.006
0.280,0.493,0.882,-0.003
0.300,0.497,0.889,-0.010
0.320,0.489,0.885,-0.007
0.340,0.489,0.890,-0.007
0.360,0.487,0.888,-0.007
0.380,0.490,0.887,-0.009
0.400,0.497,0.886,-0.006
0.420,0.496,0.882,-0.008
0.440,0.503,0.882,-0.013
0.460,0.510,0.869,-0.014
0.480,0.511,0.875,-0.012
0.500,0.505,0.877,-0.009
0.520,0.499,0.880,-0.008
0.540,0.500,0.882,-0.010
0.560,0.499,0.884,-0.010
0.580,0.494,0.885,-0.008
0.600,0.477,0.900,-0.010
0.620,0.477,0.900,-0.010
0.640,0.477,0.902,-0.007
0.660,0.471,0.901,-0.005
0.680,0.469,0.904,-0.004
0.700,0.474,0.899,-0.008
0.720,0.480,0.897,-0.011
0.740,0.484,0.894,-0.010
0.760,0.491,0.887,-0.004
0.780,0.497,0.878,-0.004
0.800,0.504,0.882,-0.013
0.820,0.521,0.868,-0.007
0.840,0.525,0.862,-0.016
0.860,0.528,0.861,-0.013
0.880,0.531,0.853,-0.009
0.900,0.536,0.853,-0.010
0.920,0.535,0.846,-0.013
0.940,0.538,0.849,-0.017
0.960,0.543,0.854,-0.015
0.980,0.536,0.851,-0.006
1.000,0.540,0.844,-0.005
1.020,0.548,0.836,0.003
1.040,0.548,0.843,-0.012
1.060,0.546,0.843,-0.016
1.080,0.541,0.846,-0.005
1.100,0.536,0.852,-0.007
1.120,0.530,0.859,-0.014
1.140,0.525,0.864,-0.005
1.160,0.517,0.865,-0.006
1.180,0.518,0.870,-0.010
1.200,0.508,0.875,-0.008
1.220,0.490,0.883,-0.004
1.240,0.490,0.890,-0.007
1.260,0.486,0.891,-0.005
1.280,0.491,0.892,-0.008
1.300,0.495,0.885,-0.007
1.320,0.501,0.881,-0.008
1.340,0.507,0.877,-0.013
1.360,0.511,0.871,-0.008
1.380,0.528,0.861,-0.011
1.400,0.539,0.854,-0.012
1.420,0.535,0.847,-0.009
1.440,0.539,0.850,-0.011
1.460,0.528,0.856,-0.012
1.480,0.529,0.866,-0.011
1.500,0.528,0.860,-0.010
1.520,0.537,0.845,-0.009
1.540,0.552,0.837,-0.009
1.560,0.556,0.834,-0.008
1.580,0.555,0.840,-0.010
1.600,0.544,0.846,-0.014
1.620,0.542,0.844,-0.011
1.640,0.547,0.847,-0.010
1.660,0.542,0.850,-0.011
1.680,0.539,0.850,-0.009
1.700,0.537,0.848,-0.008
1.720,0.542,0.848,-0.009
1.740,0.546,0.845,-0.010
1.760,0.545,0.843,-0.010
1.780,0.542,0.849,-0.010
1.800,0.543,0.847,-0.010
1.820,0.542,0.845,-0.007
1.840,0.546,0.841,-0.010
1.860,0.555,0.844,-0.012
1.880,0.559,0.842,-0.010
1.900,0.554,0.835,-0.004
1.920,0.554,0.833,-0.004
1.940,0.561,0.837,-0.010
1.960,0.563,0.838,-0.015
1.980,0.564,0.837,-0.014
2.000,0.543,0.874,0.002
2.020,0.508,0.869,0.070
2.040,0.570,0.604,-0.005
2.060,0.704,0.857,-0.164
2.080,0.678,0.833,-0.023
2.100,0.719,0.902,-0.033
2.120,0.754,0.971,-0.039
2.140,0.746,0.966,-0.067
2.160,0.774,0.955,-0.070
2.180,0.838,1.036,-0.014
2.200,0.813,1.012,-0.047
2.220,0.789,0.991,-0.073
2.240,0.782,0.970,-0.084
2.260,0.855,1.047,-0.000
2.280,0.839,1.011,-0.054
2.300,0.850,1.032,-0.065
2.320,0.838,1.056,-0.055
2.340,0.841,1.058,-0.010
2.360,0.789,1.019,-0.047
2.380,0.767,1.002,-0.035
2.400,0.722,0.965,-0.027
2.420,0.680,0.933,0.003
2.440,0.635,0.901,-0.009
2.460,0.627,0.906,-0.017
2.480,0.658,0.912,0.007
2.500,0.648,0.890,0.009
2.520,0.651,0.897,0.010
2.540,0.657,0.901,-0.013
2.560,0.645,0.876,-0.017
2.580,0.622,0.863,-0.008
2.600,0.608,0.848,-0.003
2.620,0.569,0.804,-0.009
2.640,0.559,0.790,-0.011
2.660,0.538,0.771,-0.014
2.680,0.524,0.764,0.001
2.700,0.483,0.758,0.014
2.720,0.449,0.713,0.000
2.740,0.424,0.676,-0.007
2.760,0.403,0.648,-0.019
2.780,0.366,0.602,-0.011
2.800,0.310,0.516,0.006
2.820,0.225,0.386,0.005
2.840,0.151,0.276,0.013
2.860,0.113,0.214,0.021
2.880,0.107,0.207,0.019
2.900,0.218,0.326,-0.007
2.920,0.332,0.466,-0.032
2.940,0.494,0.581,-0.047
2.960,0.699,0.701,-0.059
2.980,0.927,0.791,-0.078
3.000,0.991,0.779,-0.095
3.020,0.929,0.783,-0.082
3.040,0.831,0.746,-0.045
3.060,0.672,0.708,-0.044
3.080,0.578,0.726,-0.033
3.100,0.526,0.724,-0.021
3.120,0.464,0.720,-0.010
3.140,0.441,0.709,-0.001
3.160,0.449,0.703,0.013
3.180,0.509,0.725,0.028
3.200,0.590,0.751,0.038
3.220,0.716,0.747,0.019
