1458512903.047319,0.476807,-1.363892,-0.000610
1458512903.067827,0.469666,-1.327209,-0.005859
1458512903.086869,0.476685,-1.253845,-0.015930
1458512903.107377,0.485229,-1.196411,-0.022095
1458512903.126420,0.480896,-1.127991,-0.023926
1458512903.146928,0.484009,-1.065063,-0.031860
1458512903.167436,0.494141,-1.025513,-0.034729
1458512903.186479,0.488403,-0.974304,-0.031982
1458512903.206987,0.503845,-0.946960,-0.028748
1458512903.227494,0.503479,-0.940002,-0.029419
1458512903.246537,0.468140,-0.924866,-0.035156
1458512903.267045,0.444153,-0.934143,-0.033020
1458512903.286088,0.419250,-0.946350,-0.021667
1458512903.306596,0.385315,-0.916992,0.003235
1458512903.327104,0.367859,-0.909546,-0.004517
1458512903.346147,0.364624,-0.948120,0.007935
1458512903.366655,0.361023,-0.913086,0.011414
1458512903.387162,0.363647,-0.890320,0.030029
1458512903.406205,0.358704,-0.879028,0.030212
1458512903.445756,0.383362,-0.825012,0.013672
1458512903.466264,0.374634,-0.779907,0.012207
1458512903.486772,0.366028,-0.713928,0.007019
1458512903.505815,0.364197,-0.640503,0.010071
1458512903.526323,0.348206,-0.600159,0.002014
1458512903.546830,0.331116,-0.549927,-0.000671
1458512903.565873,0.292053,-0.521362,-0.015015
1458512903.586381,0.253540,-0.502563,-0.020569
1458512903.605424,0.272705,-0.377808,-0.013916
1458512903.625932,0.104126,-0.203552,-0.023560
1458512903.646440,0.011841,0.040100,0.018738
1458512903.665483,-0.003540,-0.007996,-0.093567
1458512903.685991,-0.054810,0.149841,-0.126465
1458512903.705034,0.176453,0.374268,-0.171265
1458512903.725541,-0.020264,0.048035,0.031921
1458512903.746049,0.096741,-0.144836,0.058655
1458512903.765092,0.148376,-0.209412,-0.009277
1458512903.785600,0.215515,-0.211609,0.020813
1458512903.806108,0.284363,-0.292969,-0.002991
1458512903.825151,0.273560,-0.397766,-0.001465
1458512903.845659,0.339905,-0.343689,0.009766
1458512903.864702,0.376587,-0.403931,-0.000427
1458512903.885209,0.442505,-0.499390,0.014648
1458512903.905717,0.500427,-0.462341,0.007751
1458512903.924760,0.454712,-0.507263,0.003845
1458512903.945268,0.548279,-0.605225,0.010559
1458512903.964311,0.559021,-0.560791,0.005737
1458512903.984819,0.564331,-0.564026,0.004517
1458512904.005327,0.653870,-0.685913,0.014343
1458512904.024369,0.695007,-0.731445,0.002747
1458512904.044877,0.691895,-0.678162,-0.000488
1458512904.065385,0.704163,-0.738159,0.024475
1458512904.084428,0.717712,-0.784607,0.019043
1458512904.104936,0.729065,-0.780029,-0.018921
1458512904.123979,0.750366,-0.736328,-0.007202
1458512904.144487,0.748291,-0.752319,0.004578
1458512904.164994,0.799377,-0.770020,0.013428
1458512904.184037,0.835388,-0.777405,-0.012939
1458512904.204545,0.822083,-0.727600,-0.034180
1458512904.225053,0.814575,-0.680054,-0.004700
1458512904.244096,0.858459,-0.688354,-0.006226
1458512904.264604,0.869263,-0.707764,-0.032593
1458512904.283647,0.821228,-0.658264,-0.040588
1458512904.304155,0.793335,-0.635315,-0.010864
