time,x-acceleration,y-acceleration,z-acceleration
0.000,0.766,-0.327,0.295
0.020,0.772,-0.331,0.297
0.040,0.769,-0.331,0.297
0.060,0.767,-0.329,0.298
0.080,0.770,-0.329,0.296
0.100,0.770,-0.331,0.297
0.120,0.770,-0.332,0.296
0.140,0.771,-0.330,0.296
0.160,0.771,-0.331,0.297
0.180,0.771,-0.331,0.299
0.200,0.770,-0.330,0.296
0.220,0.770,-0.330,0.297
0.240,0.771,-0.329,0.298
0.260,0.770,-0.329,0.295
0.280,0.770,-0.328,0.296
0.300,0.770,-0.331,0.297
0.320,0.770,-0.331,0.297
0.340,0.771,-0.330,0.297
0.360,0.771,-0.330,0.296
0.380,0.773,-0.330,0.296
0.400,0.772,-0.329,0.294
0.420,0.772,-0.330,0.294
0.440,0.770,-0.330,0.292
0.460,0.772,-0.332,0.295
0.480,0.770,-0.333,0.298
0.500,0.767,-0.330,0.301
0.520,0.769,-0.330,0.304
0.540,0.767,-0.327,0.302
0.560,0.769,-0.328,0.300
0.580,0.768,-0.329,0.302
0.600,0.768,-0.330,0.303
0.620,0.769,-0.329,0.301
0.640,0.768,-0.329,0.300
0.660,0.770,-0.330,0.300
0.680,0.770,-0.329,0.299
0.700,0.770,-0.329,0.299
0.720,0.770,-0.329,0.297
0.740,0.771,-0.330,0.297
0.760,0.773,-0.330,0.295
0.780,0.768,-0.329,0.294
0.800,0.773,-0.331,0.294
0.820,0.771,-0.331,0.293
0.840,0.750,-0.326,0.286
0.860,0.786,-0.348,0.285
0.880,0.779,-0.340,0.293
0.900,0.780,-0.328,0.284
0.920,0.768,-0.320,0.287
0.940,0.780,-0.330,0.288
0.960,0.770,-0.333,0.294
0.980,0.763,-0.322,0.296
1.000,0.762,-0.323,0.303
1.020,0.775,-0.336,0.298
1.040,0.778,-0.335,0.294
1.060,0.770,-0.333,0.291
1.080,0.769,-0.348,0.278
1.100,0.772,-0.344,0.285
1.120,0.751,-0.326,0.281
1.140,0.763,-0.325,0.301
1.160,0.778,-0.327,0.294
1.180,0.791,-0.337,0.293
1.200,0.794,-0.337,0.289
1.220,0.774,-0.328,0.307
1.240,0.767,-0.329,0.308
1.260,0.788,-0.331,0.297
1.280,0.775,-0.320,0.324
1.300,0.743,-0.305,0.346
1.320,0.702,-0.306,0.357
1.340,0.758,-0.355,0.344
1.360,0.776,-0.347,0.332
1.380,0.761,-0.297,0.363
1.400,0.746,-0.312,0.369
1.420,0.723,-0.323,0.388
1.440,0.757,-0.328,0.360
1.460,0.748,-0.313,0.377
1.480,0.760,-0.318,0.376
1.500,0.737,-0.314,0.384
1.520,0.744,-0.321,0.381
1.540,0.719,-0.305,0.396
1.560,0.745,-0.308,0.391
1.580,0.741,-0.312,0.394
1.600,0.742,-0.319,0.395
