time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.550,0.296,0.878
0.020,-0.554,0.299,0.885
0.040,-0.552,0.299,0.884
0.060,-0.552,0.297,0.883
0.080,-0.553,0.296,0.886
0.100,-0.552,0.298,0.885
0.120,-0.553,0.299,0.885
0.140,-0.552,0.299,0.886
0.160,-0.549,0.298,0.884
0.180,-0.553,0.298,0.882
0.200,-0.553,0.298,0.885
0.220,-0.551,0.298,0.885
0.240,-0.551,0.298,0.883
0.260,-0.552,0.297,0.883
0.280,-0.552,0.298,0.883
0.300,-0.550,0.299,0.886
0.320,-0.553,0.298,0.885
0.340,-0.553,0.297,0.885
0.360,-0.551,0.298,0.883
0.380,-0.552,0.299,0.884
0.400,-0.552,0.298,0.883
0.420,-0.552,0.298,0.885
0.440,-0.551,0.297,0.883
0.460,-0.551,0.299,0.882
0.480,-0.552,0.297,0.882
0.500,-0.551,0.298,0.883
0.520,-0.552,0.299,0.885
0.540,-0.553,0.297,0.884
0.560,-0.550,0.295,0.881
0.580,-0.553,0.301,0.888
0.600,-0.553,0.301,0.885
0.620,-0.551,0.298,0.880
0.640,-0.553,0.299,0.885
0.660,-0.547,0.298,0.880
0.680,-0.555,0.299,0.887
0.700,-0.552,0.297,0.884
0.720,-0.549,0.298,0.882
0.740,-0.552,0.300,0.886
0.760,-0.550,0.299,0.883
0.780,-0.551,0.297,0.886
0.800,-0.551,0.298,0.882
0.820,-0.553,0.299,0.886
0.840,-0.554,0.297,0.888
0.860,-0.552,0.297,0.885
0.880,-0.551,0.298,0.884
0.900,-0.551,0.298,0.883
0.920,-0.553,0.298,0.885
0.940,-0.552,0.298,0.885
0.960,-0.550,0.299,0.882
0.980,-0.552,0.298,0.883
1.000,-0.551,0.297,0.884
1.020,-0.551,0.298,0.883
1.040,-0.550,0.297,0.882
1.060,-0.551,0.298,0.886
1.080,-0.550,0.299,0.884
1.100,-0.552,0.299,0.886
1.120,-0.551,0.298,0.884
1.140,-0.552,0.299,0.886
1.160,-0.552,0.298,0.887
1.180,-0.551,0.298,0.882
1.200,-0.553,0.300,0.883
1.220,-0.551,0.298,0.883
1.240,-0.553,0.299,0.884
1.260,-0.553,0.297,0.884
1.280,-0.549,0.298,0.882
1.300,-0.552,0.300,0.887
1.320,-0.552,0.297,0.882
1.340,-0.552,0.298,0.887
1.360,-0.549,0.297,0.881
1.380,-0.551,0.297,0.883
1.400,-0.551,0.296,0.882
1.420,-0.551,0.298,0.885
1.440,-0.553,0.299,0.885
1.460,-0.554,0.297,0.884
1.480,-0.552,0.298,0.885
1.500,-0.551,0.299,0.884
1.520,-0.552,0.299,0.886
1.540,-0.552,0.298,0.883
