time,x-acceleration,y-acceleration,z-acceleration
3.780,0.211,0.242,0.012
3.800,0.268,0.310,0.029
3.820,0.328,0.333,0.002
3.840,0.367,0.362,-0.022
3.860,0.489,0.436,-0.026
3.880,0.551,0.481,-0.028
3.900,0.583,0.468,-0.005
3.920,0.683,0.503,-0.028
3.940,0.737,0.537,-0.049
3.960,0.822,0.562,-0.030
3.980,0.911,0.588,-0.062
4.000,0.955,0.589,-0.072
4.020,1.144,0.505,-0.031
4.040,1.139,0.485,-0.054
4.060,1.075,0.503,-0.059
4.080,1.049,0.507,-0.049
4.100,1.003,0.503,-0.065
4.120,1.139,0.470,-0.055
4.140,1.069,0.487,-0.018
4.160,1.017,0.474,-0.023
4.180,1.051,0.519,-0.055
4.200,1.066,0.594,-0.053
4.220,1.033,0.616,-0.022
4.240,1.226,0.655,-0.047
4.260,1.496,0.715,-0.093
4.280,1.605,0.736,-0.082
4.300,1.632,0.731,-0.080
4.320,1.645,0.708,-0.086
4.340,1.528,0.699,-0.104
4.360,1.510,0.756,-0.088
4.380,1.477,0.754,-0.070
4.400,1.407,0.723,-0.064
4.420,1.248,0.690,-0.023
4.440,1.213,0.675,-0.013
4.460,1.194,0.618,-0.014
4.480,1.143,0.569,0.002
4.500,1.100,0.535,0.019
4.520,1.092,0.487,0.014
4.540,1.069,0.421,0.018
4.560,1.028,0.376,0.028
4.580,0.975,0.354,0.025
4.600,0.923,0.296,0.018
4.620,0.870,0.255,0.023
4.640,0.831,0.244,0.040
4.660,0.745,0.221,0.036
4.680,0.703,0.224,0.020
4.700,0.696,0.190,0.029
4.720,0.662,0.131,0.025
4.740,0.296,0.130,0.011
4.760,0.130,0.106,-0.009
4.780,-0.057,0.125,0.016
4.800,-0.116,0.136,0.002
4.820,-0.312,0.304,-0.161
4.840,-0.329,0.255,0.081
4.860,-0.185,0.224,0.044
4.880,-0.115,0.191,0.009
4.900,0.026,0.208,-0.099
4.920,0.318,0.251,-0.068
4.940,0.306,0.136,0.051
4.960,0.341,0.236,0.009
4.980,0.518,0.163,0.012
5.000,0.499,0.230,-0.008
5.020,0.598,0.262,-0.005
5.040,0.711,0.253,-0.012
5.060,0.760,0.237,0.007
5.080,0.869,0.247,-0.013
5.100,0.901,0.242,-0.034
5.120,0.993,0.205,-0.005
5.140,1.019,0.223,0.004
5.160,1.041,0.253,-0.042
5.180,1.036,0.250,-0.078
5.200,1.015,0.267,-0.050
5.220,1.028,0.284,-0.028
5.240,1.071,0.347,-0.103
5.260,1.077,0.381,-0.073
5.280,1.091,0.414,-0.070
5.300,1.083,0.422,-0.093
5.320,1.049,0.425,-0.085
5.340,0.996,0.442,-0.052
5.360,0.938,0.458,-0.043
5.380,0.927,0.474,-0.070
5.400,0.909,0.506,-0.094
5.420,0.888,0.545,-0.085
5.440,0.996,0.572,-0.075
5.460,1.249,0.586,-0.089
5.480,1.435,0.581,-0.106
5.500,1.537,0.571,-0.085
5.520,1.652,0.596,-0.046
5.540,1.782,0.587,-0.051
5.560,1.818,0.561,-0.052
5.580,1.750,0.587,-0.034
5.600,1.610,0.610,-0.026
5.620,1.524,0.596,-0.029
5.640,1.473,0.662,-0.020
5.660,1.269,0.717,-0.011
5.680,1.225,0.683,-0.021
5.700,1.118,0.628,-0.024
5.720,0.994,0.592,-0.027
5.740,0.951,0.568,-0.015
5.760,0.958,0.535,-0.003
5.780,0.974,0.477,0.011
5.800,1.003,0.424,0.018
5.820,0.999,0.345,0.027
5.840,0.965,0.294,0.017
5.860,0.912,0.243,0.040
5.880,0.865,0.162,0.028
5.900,0.793,0.148,0.001
5.920,0.746,0.191,0.010
5.940,0.763,0.204,0.012
5.960,0.783,0.168,0.019
5.980,0.762,0.169,0.011
6.000,0.561,0.143,0.016
6.020,0.231,0.089,0.025
6.040,-0.060,0.120,0.005
6.060,-0.104,0.074,0.011
6.080,-0.343,0.123,-0.531
6.100,-0.251,0.002,-0.011
6.120,-0.148,0.094,0.057
6.140,-0.231,0.084,-0.061
6.160,0.209,0.322,-0.296
6.180,0.413,0.033,-0.313
6.200,0.339,0.261,0.036
6.220,0.514,0.239,0.029
6.240,0.525,0.292,-0.011
6.260,0.605,0.302,0.007
6.280,0.748,0.323,-0.003
6.300,0.814,0.324,-0.008
6.320,0.749,0.368,-0.027
6.340,0.797,0.348,0.040
6.360,0.867,0.372,0.039
6.380,0.907,0.386,-0.034
6.400,0.895,0.390,-0.054
6.420,0.872,0.379,-0.026
6.440,0.878,0.401,-0.021
6.460,0.872,0.422,-0.047
6.480,0.864,0.406,-0.057
6.500,0.891,0.442,0.014
6.520,0.896,0.483,-0.021
6.540,0.904,0.519,-0.046
6.560,0.916,0.510,-0.044
6.580,0.936,0.511,-0.048
6.600,0.956,0.498,-0.066
6.620,0.944,0.479,-0.068
6.640,0.877,0.491,-0.019
6.660,0.890,0.528,-0.004
6.680,0.937,0.553,-0.059
6.700,0.947,0.602,-0.085
6.720,0.996,0.669,-0.046
6.740,1.145,0.714,-0.019
6.760,1.391,0.735,-0.064
6.780,1.515,0.717,-0.087
6.800,1.606,0.726,-0.052
6.820,1.780,0.739,-0.033
6.840,1.849,0.710,-0.017
6.860,1.785,0.743,-0.006
6.880,1.644,0.733,-0.007
6.900,1.530,0.725,-0.019
6.920,1.368,0.765,-0.036
6.940,1.244,0.706,-0.033
6.960,1.199,0.700,-0.061
6.980,1.134,0.671,-0.058
7.000,1.045,0.643,-0.048
7.020,1.021,0.612,-0.035
7.040,0.981,0.565,-0.025
7.060,0.950,0.510,-0.011
7.080,0.921,0.449,-0.024
7.100,0.886,0.402,-0.010
7.120,0.830,0.353,0.015
7.140,0.797,0.330,0.030
7.160,0.755,0.286,0.034
7.180,0.686,0.250,0.026
7.200,0.638,0.234,0.032
7.220,0.580,0.215,0.039
7.240,0.542,0.250,0.021
7.260,0.596,0.212,0.009
7.280,0.647,0.203,-0.004
7.300,0.658,0.171,-0.004
7.320,0.430,0.167,0.026
7.340,0.030,0.142,0.034
7.360,-0.059,0.175,0.003
7.380,-0.000,0.153,0.020
7.400,-0.152,0.304,-0.176
7.420,-0.078,0.256,0.015
7.440,0.090,0.188,0.047
7.460,0.036,0.273,0.005
7.480,0.011,0.334,-0.011
7.500,0.461,0.124,-0.401
7.520,0.485,0.249,-0.047
7.540,0.412,0.295,0.016
7.560,0.532,0.312,-0.004
7.580,0.648,0.336,0.010
7.600,0.684,0.325,-0.026
7.620,0.763,0.342,-0.024
7.640,0.749,0.346,-0.007
7.660,0.763,0.380,0.005
7.680,0.831,0.384,-0.002
7.700,0.857,0.374,-0.008
7.720,0.899,0.404,-0.015
7.740,0.879,0.426,-0.021
7.760,0.821,0.445,-0.031
7.780,0.855,0.455,-0.046
7.800,0.961,0.449,-0.065
7.820,0.983,0.461,-0.062
7.840,0.930,0.467,-0.049
7.860,0.945,0.476,-0.043
7.880,0.959,0.480,-0.046
7.900,0.984,0.502,-0.024
7.920,0.980,0.490,-0.013
7.940,0.931,0.487,-0.024
7.960,0.920,0.513,-0.042
7.980,0.867,0.522,-0.038
8.000,0.833,0.551,-0.017
8.020,0.866,0.573,-0.032
8.040,0.963,0.600,-0.044
8.060,1.041,0.598,-0.046
8.080,1.162,0.603,-0.024
8.100,1.449,0.601,-0.007
8.120,1.710,0.562,-0.040
8.140,1.853,0.514,-0.056
8.160,1.892,0.459,-0.035
8.180,1.706,0.513,-0.005
8.200,1.532,0.542,-0.004
