time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.684,0.507,0.700
0.020,-0.689,0.511,0.704
0.040,-0.687,0.510,0.703
0.060,-0.688,0.509,0.706
0.080,-0.688,0.511,0.704
0.100,-0.688,0.509,0.703
0.120,-0.688,0.509,0.703
0.140,-0.687,0.508,0.703
0.160,-0.688,0.510,0.704
0.180,-0.687,0.511,0.704
0.200,-0.688,0.508,0.705
0.220,-0.687,0.510,0.705
0.240,-0.688,0.510,0.704
0.260,-0.687,0.510,0.703
0.280,-0.688,0.510,0.704
0.300,-0.687,0.509,0.705
0.320,-0.687,0.510,0.704
0.340,-0.688,0.510,0.704
0.360,-0.689,0.510,0.706
0.380,-0.688,0.511,0.703
0.400,-0.686,0.510,0.703
0.420,-0.687,0.511,0.703
0.440,-0.688,0.511,0.704
0.460,-0.687,0.511,0.703
0.480,-0.687,0.509,0.703
0.500,-0.687,0.510,0.703
0.520,-0.688,0.510,0.704
0.540,-0.688,0.510,0.705
0.560,-0.688,0.510,0.704
0.580,-0.688,0.509,0.704
0.600,-0.687,0.509,0.703
0.620,-0.686,0.508,0.703
0.640,-0.689,0.512,0.703
0.660,-0.685,0.507,0.708
0.680,-0.686,0.510,0.703
0.700,-0.696,0.514,0.702
0.720,-0.684,0.508,0.706
0.740,-0.685,0.507,0.707
0.760,-0.694,0.513,0.701
0.780,-0.686,0.510,0.703
0.800,-0.684,0.507,0.706
0.820,-0.691,0.511,0.706
0.840,-0.691,0.513,0.703
0.860,-0.684,0.509,0.708
0.880,-0.686,0.510,0.702
0.900,-0.690,0.511,0.701
0.920,-0.685,0.508,0.707
0.940,-0.685,0.509,0.706
0.960,-0.689,0.511,0.702
0.980,-0.688,0.510,0.705
1.000,-0.686,0.509,0.705
1.020,-0.689,0.511,0.702
1.040,-0.685,0.508,0.704
1.060,-0.690,0.510,0.706
1.080,-0.688,0.510,0.705
1.100,-0.685,0.509,0.706
1.120,-0.689,0.510,0.705
1.140,-0.689,0.511,0.704
1.160,-0.687,0.509,0.704
1.180,-0.687,0.509,0.705
1.200,-0.688,0.510,0.703
1.220,-0.685,0.509,0.703
1.240,-0.687,0.509,0.705
1.260,-0.687,0.510,0.703
1.280,-0.688,0.510,0.702
1.300,-0.688,0.509,0.707
1.320,-0.687,0.511,0.706
1.340,-0.688,0.511,0.704
1.360,-0.687,0.509,0.705
1.380,-0.687,0.510,0.704
1.400,-0.687,0.511,0.703
1.420,-0.687,0.510,0.703
1.440,-0.687,0.509,0.706
1.460,-0.687,0.509,0.704
1.480,-0.688,0.509,0.705
1.500,-0.689,0.512,0.705
1.520,-0.688,0.512,0.705
1.540,-0.688,0.510,0.705
1.560,-0.688,0.510,0.702
1.580,-0.687,0.511,0.703
1.600,-0.688,0.510,0.706
1.620,-0.688,0.510,0.704
1.640,-0.687,0.510,0.704
1.660,-0.687,0.509,0.703
1.680,-0.687,0.510,0.703
1.700,-0.686,0.509,0.706
1.720,-0.687,0.511,0.704
1.740,-0.688,0.511,0.705
1.760,-0.688,0.510,0.705
1.780,-0.688,0.510,0.704
1.800,-0.688,0.511,0.704
1.820,-0.687,0.511,0.705
1.840,-0.686,0.511,0.704
1.860,-0.687,0.511,0.704
1.880,-0.688,0.509,0.705
1.900,-0.688,0.510,0.706
1.920,-0.688,0.511,0.704
1.940,-0.688,0.510,0.706
1.960,-0.687,0.511,0.704
1.980,-0.689,0.511,0.703
2.000,-0.688,0.509,0.706
2.020,-0.686,0.509,0.704
2.040,-0.688,0.510,0.703
2.060,-0.687,0.511,0.704
2.080,-0.686,0.511,0.703
2.100,-0.688,0.510,0.705
2.120,-0.688,0.510,0.704
2.140,-0.688,0.511,0.702
2.160,-0.688,0.510,0.704
2.180,-0.689,0.510,0.705
2.200,-0.689,0.510,0.705
2.220,-0.687,0.512,0.704
2.240,-0.688,0.510,0.703
2.260,-0.688,0.510,0.704
2.280,-0.688,0.512,0.705
2.300,-0.687,0.511,0.704
2.320,-0.688,0.511,0.704
2.340,-0.687,0.511,0.706
2.360,-0.688,0.508,0.705
2.380,-0.688,0.510,0.705
2.400,-0.688,0.510,0.704
2.420,-0.687,0.509,0.704
2.440,-0.687,0.510,0.704
2.460,-0.688,0.509,0.704
2.480,-0.688,0.511,0.704
2.500,-0.687,0.511,0.705
2.520,-0.687,0.510,0.705
2.540,-0.687,0.511,0.705
2.560,-0.689,0.510,0.703
2.580,-0.687,0.510,0.705
2.600,-0.690,0.511,0.706
2.620,-0.688,0.511,0.704
2.640,-0.686,0.510,0.703
2.660,-0.686,0.510,0.704
2.680,-0.688,0.510,0.702
2.700,-0.688,0.510,0.703
2.720,-0.686,0.510,0.705
