,sport,name,year,gender,college,ncaa_college,full_prob,part_prob,ncaa_conf,ncaa_div,ncaa_reclass,ncaa_state
76,Basketball,Adam Tancredi,2002.0,M,Quinnipiac University,Quinnipiac University,100.0,100.0,Metro Atlantic Athletic Conference,I,,CT
77,Basketball,Chet Truskowski,2002.0,M,Hobart College,Howard University,67.0,67.0,Mid-Eastern Athletic Conf.,I-FCS,,DC
78,Basketball,Rashad McCants,2002.0,M,"University of North Carolina; Minnesota Timberwolves, Sacramento Kings, NBA",University of North Carolina Wilmington,50.0,75.0,Colonial Athletic Association,I,,NC
79,Basketball,Wes Miller,2002.0,M,"University of North Carolina, Assistant Coach High Point University","University of North Carolina, Chapel Hill",61.0,67.0,Atlantic Coast Conference,I-FBS,,NC
80,Basketball,Todd Towndsend,2001.0,M,Marquette University,Marquette University,100.0,100.0,Big East Conference,I,,WI
81,Basketball,Alfredus Petkus,2001.0,M,University of Maine,"University of Maine, Orono",70.0,100.0,America East Conference,I-FCS,,ME
82,Basketball,Ivan Bozovic,2001.0,M,St. Peters College,Saint Peter's University,78.0,80.0,Metro Atlantic Athletic Conference,I,,NJ
83,Basketball,Brian Cuttica,2001.0,M,University of Chicago,University of Chicago,100.0,100.0,University Athletic Association,III,,IL
84,Basketball,Garth Glissman,2001.0,M,University of Nebraska,University of Nebraska Omaha,79.0,100.0,The Summit League,I,,NE
85,Basketball,Sam Brand,2000.0,M,Hampton University,Hampton University,100.0,100.0,Mid-Eastern Athletic Conf.,I-FCS,,VA
86,Basketball,Justin DeBerry,2000.0,M,Lafayette College,Lafayette College,100.0,100.0,Patriot League,I-FCS,,PA
87,Basketball,Allen Gould,2000.0,M,University of New Hampshire,University of New Hampshire,100.0,100.0,America East Conference,I-FCS,,NH
88,Basketball,Gabriel Hughes,2000.0,M,"University of California, Berkeley","University of California, Berkeley",100.0,100.0,Pac-12 Conference,I-FBS,,CA
89,Basketball,Michael Roberts,2000.0,M,"Indiana University, Assistant Coach Rice University",Indiana State University,56.0,62.0,Missouri Valley Conference,I-FCS,,IN
90,Basketball,Bernard Robinson Jr.,2000.0,M,University of Michigan,University of Michigan,100.0,100.0,Big Ten Conference,I-FBS,,MI
91,Basketball,Andy Smith,2000.0,M,U.S. Military Academy @ West Point,U.S. Military Academy,76.0,100.0,Patriot League,I-FBS,,NY
92,Basketball,Tyrone Walker,2000.0,M,Winthrop University,Winthrop University,100.0,100.0,Big South Conference,I,,SC
93,Basketball,Tom Coverdale,1999.0,M,"Indiana University; Rockford Lightning, CBA","Indiana University, Bloomington",52.0,57.0,Big Ten Conference,I-FBS,,IN
94,Basketball,Marius Petravicius,1999.0,M,"University of South Carolina; Telindus, EuropeanBasket League",University of South Carolina Aiken,58.0,83.0,Peach Belt Conference,II,,SC
95,Basketball,Michael Causey,1999.0,M,Harvard University,Harvard University,100.0,100.0,The Ivy League,I-FCS,,MA
96,Basketball,Josh Kroenke,1999.0,M,University of Missouri,University of Central Missouri,73.0,82.0,Mid-America Intercollegiate Athletics Association,II,,MO
