Institution,Conference,Division,Reclass Division,State
University of Idaho,Big Sky Conference,I-FBS,,ID
Idaho State University,Big Sky Conference,I-FCS,,ID
Illinois State University,Missouri Valley Conference,I-FCS,,IL
University of Illinois Urbana-Champaign,Big Ten Conference,I-FBS,,IL
University of Illinois at Chicago,Horizon League,I,,IL
University of the Incarnate Word,Southland Conference,II,I-FCS,TX
Indiana State University,Missouri Valley Conference,I-FCS,,IN
"Indiana University, Bloomington",Big Ten Conference,I-FBS,,IN
"Indiana University-Purdue University, Fort Wayne",The Summit League,I,,IN
Indiana University-Purdue University at Indianapolis,The Summit League,I,,IN
Iona College,Metro Atlantic Athletic Conference,I,,NY
University of Iowa,Big Ten Conference,I-FBS,,IA
Iowa State University,Big 12 Conference,I-FBS,,IA
Jackson State University,Southwestern Athletic Conf.,I-FCS,,MS
Jacksonville State University,Ohio Valley Conference,I-FCS,,AL
Jacksonville University,Atlantic Sun Conference,I-FCS,,FL
James Madison University,Colonial Athletic Association,I-FCS,,VA
University of Kansas,Big 12 Conference,I-FBS,,KS
Kansas State University,Big 12 Conference,I-FBS,,KS
Kennesaw State University,Atlantic Sun Conference,I-FCS,,GA
Kent State University,Mid-American Conference,I-FBS,,OH
University of Kentucky,Southeastern Conference,I-FBS,,KY
La Salle University,Atlantic 10 Conference,I,,PA
Lafayette College,Patriot League,I-FCS,,PA
Lamar University,Southland Conference,I-FCS,,TX
Lehigh University,Patriot League,I-FCS,,PA
Liberty University,Big South Conference,I-FCS,,VA
Lipscomb University,Atlantic Sun Conference,I,,TN
Long Beach State University,Big West Conference,I,,CA
Long Island University-Brooklyn Campus,Northeast Conference,I,,NY
Longwood University,Big South Conference,I,,VA
University of Louisiana at Lafayette,Sun Belt Conference,I-FBS,,LA
University of Louisiana at Monroe,Sun Belt Conference,I-FBS,,LA
Louisiana State University,Southeastern Conference,I-FBS,,LA
Louisiana Tech University,Conference USA,I-FBS,,LA
University of Louisville,Atlantic Coast Conference,I-FBS,,KY
Loyola Marymount University,West Coast Conference,I,,CA
Loyola University Chicago,Missouri Valley Conference,I,,IL
Loyola University Maryland,Patriot League,I,,MD
"University of Maine, Orono",America East Conference,I-FCS,,ME
Manhattan College,Metro Atlantic Athletic Conference,I,,NY
Marist College,Metro Atlantic Athletic Conference,I-FCS,,NY
Marquette University,Big East Conference,I,,WI
Marshall University,Conference USA,I-FBS,,WV
University of Maryland Eastern Shore,Mid-Eastern Athletic Conf.,I,,MD
"University of Maryland, Baltimore County",America East Conference,I,,MD
"University of Maryland, College Park",Big Ten Conference,I-FBS,,MD
"University of Massachusetts, Amherst",Atlantic 10 Conference,I-FBS,,MA
University of Massachusetts Lowell,America East Conference,II,I,MA
McNeese State University,Southland Conference,I-FCS,,LA
University of Memphis,American Athletic Conference,I-FBS,,TN
Mercer University,Southern Conference,I-FCS,,GA
University of Miami (Florida),Atlantic Coast Conference,I-FBS,,FL
