Institution,Conference,Division,Reclass Division,State
Lindenwood University,Mid-America Intercollegiate Athletics Association,II,,MO
Livingstone College,Central Intercollegiate Athletic Association,II,,NC
Lock Haven University of Pennsylvania,Pennsylvania State Athletic Conference,II,,PA
Lubbock Christian University,Heartland Conference,II,,TX
Lynn University,Sunshine State Conference,II,,FL
Malone University,Great Lakes Intercollegiate Athletic Conference,II,,OH
Mansfield University of Pennsylvania,Pennsylvania State Athletic Conference,II,,PA
Mars Hill University,South Atlantic Conference,II,,NC
University of Mary,Northern Sun Intercollegiate Conference,II,,ND
Maryville University of Saint Louis,Great Lakes Valley Conference,II,,MO
University of Massachusetts Lowell,America East Conference,II,I,MA
McKendree University,Great Lakes Valley Conference,II,,IL
Mercy College,East Coast Conference,II,,NY
Mercyhurst University,Pennsylvania State Athletic Conference,II,,PA
Merrimack College,Northeast-10 Conference,II,,MA
Metropolitan State University of Denver,Rocky Mountain Athletic Conference,II,,CO
Michigan Technological University,Great Lakes Intercollegiate Athletic Conference,II,,MI
Midwestern State University,Lone Star Conference,II,,TX
Miles College,Southern Intercol. Ath. Conf.,II,,AL
Millersville University of Pennsylvania,Pennsylvania State Athletic Conference,II,,PA
"Minnesota State University, Mankato",Northern Sun Intercollegiate Conference,II,,MN
Minnesota State University Moorhead,Northern Sun Intercollegiate Conference,II,,MN
"University of Minnesota, Crookston",Northern Sun Intercollegiate Conference,II,,MN
University of Minnesota Duluth,Northern Sun Intercollegiate Conference,II,,MN
Minot State University,Northern Sun Intercollegiate Conference,II,,ND
Mississippi College,Gulf South Conference,II,II,MS
Missouri University of Science and Technology,Great Lakes Valley Conference,II,,MO
Missouri Southern State University,Mid-America Intercollegiate Athletics Association,II,,MO
Missouri Western State University,Mid-America Intercollegiate Athletics Association,II,,MO
University of Missouri-St. Louis,Great Lakes Valley Conference,II,,MO
Molloy College,East Coast Conference,II,,NY
Montana State University Billings,Great Northwest Athletic Conference,II,,MT
University of Montevallo,Peach Belt Conference,II,,AL
Morehouse College,Southern Intercol. Ath. Conf.,II,,GA
University of Mount Olive,Conference Carolinas,II,,NC
University of Nebraska at Kearney,Mid-America Intercollegiate Athletics Association,II,,NE
University of New Haven,Northeast-10 Conference,II,,CT
New Mexico Highlands University,Rocky Mountain Athletic Conference,II,,NM
New York Institute of Technology,East Coast Conference,II,,NY
Newberry College,South Atlantic Conference,II,,SC
Newman University,Heartland Conference,II,,KS
University of North Alabama,Gulf South Conference,II,,AL
University of North Carolina at Pembroke,Peach Belt Conference,II,,NC
University of North Georgia,Peach Belt Conference,II,,GA
North Greenville University,Conference Carolinas,II,,SC
Northeastern State University,Mid-America Intercollegiate Athletics Association,II,,OK
Northern Kentucky University,Horizon League,II,I,KY
Northern Michigan University,Great Lakes Intercollegiate Athletic Conference,II,,MI
Northern State University,Northern Sun Intercollegiate Conference,II,,SD
Northwest Missouri State University,Mid-America Intercollegiate Athletics Association,II,,MO
Northwest Nazarene University,Great Northwest Athletic Conference,II,,ID
Northwestern Oklahoma State University,Great American Conference,II,,OK
Northwood University (Michigan),Great Lakes Intercollegiate Athletic Conference,II,,MI
Notre Dame College (Ohio),Mountain East Conference,II,,OH
Notre Dame de Namur University,Pacific West Conference,II,,CA
Nova Southeastern University,Sunshine State Conference,II,,FL
Nyack College,Central Atlantic Collegiate Conference,II,,NY
Oakland City University,,II,,IN
Ohio Dominican University,Great Lakes Intercollegiate Athletic Conference,II,,OH
Ohio Valley University,Great Midwest Athletic Conference,II,,WV
Oklahoma Baptist University,Great American Conference,II,,OK
Oklahoma Christian University,Heartland Conference,II,,OK
Oklahoma Panhandle State University,Heartland Conference,II,,OK
Ouachita Baptist University,Great American Conference,II,,AR
Pace University,Northeast-10 Conference,II,,NY
Paine College,Southern Intercol. Ath. Conf.,II,,GA
Palm Beach Atlantic University,,II,,FL
Pfeiffer University,Conference Carolinas,II,,NC
Philadelphia University,Central Atlantic Collegiate Conference,II,,PA
Pittsburg State University,Mid-America Intercollegiate Athletics Association,II,,KS
"University of Pittsburgh, Johnstown",Pennsylvania State Athletic Conference,II,,PA
Point Loma Nazarene University,Pacific West Conference,II,,CA
Post University,Central Atlantic Collegiate Conference,II,,CT
Long Island University/LIU Post,East Coast Conference,II,,NY
"University of Puerto Rico, Bayamon",,II,,PR
"University of Puerto Rico, Mayaguez",,II,,PR
"University of Puerto Rico, Rio Piedras",,II,,PR
Queens College (New York),East Coast Conference,II,,NY
Queens University of Charlotte,South Atlantic Conference,II,,NC
Quincy University,Great Lakes Valley Conference,II,,IL
Regis University (Colorado),Rocky Mountain Athletic Conference,II,,CO
Roberts Wesleyan College,East Coast Conference,II,,NY
Rockhurst University,Great Lakes Valley Conference,II,,MO
Rogers State University,Heartland Conference,II,,OK
Rollins College,Sunshine State Conference,II,,FL
Saginaw Valley State University,Great Lakes Intercollegiate Athletic Conference,II,,MI
Salem International University,Great Midwest Athletic Conference,II,,WV
San Francisco State University,California Collegiate Athletic Association,II,,CA
University of the Sciences,Central Atlantic Collegiate Conference,II,,PA
Seattle Pacific University,Great Northwest Athletic Conference,II,,WA
Seton Hill University,Pennsylvania State Athletic Conference,II,,PA
Shaw University,Central Intercollegiate Athletic Association,II,,NC
Shepherd University,Mountain East Conference,II,,WV
Shippensburg University of Pennsylvania,Pennsylvania State Athletic Conference,II,,PA
Shorter University,Gulf South Conference,II,,GA
Simon Fraser University,Great Northwest Athletic Conference,II,,BC
University of Sioux Falls,Northern Sun Intercollegiate Conference,II,,SD
Slippery Rock University of Pennsylvania,Pennsylvania State Athletic Conference,II,,PA
Sonoma State University,California Collegiate Athletic Association,II,,CA
University of South Carolina Aiken,Peach Belt Conference,II,,SC
South Dakota School of Mines & Technology,Rocky Mountain Athletic Conference,II,,SD
Southeastern Oklahoma State University,Great American Conference,II,,OK
Southern Arkansas University,Great American Conference,II,,AR
Southern Connecticut State University,Northeast-10 Conference,II,,CT
University of Southern Indiana,Great Lakes Valley Conference,II,,IN
Southern Nazarene University,Great American Conference,II,,OK
Southern New Hampshire University,Northeast-10 Conference,II,,NH
Southern Wesleyan University,Conference Carolinas,II,,SC
Southwest Baptist University,Mid-America Intercollegiate Athletics Association,II,,MO
Southwest Minnesota State University,Northern Sun Intercollegiate Conference,II,,MN
Southwestern Oklahoma State University,Great American Conference,II,,OK
Spring Hill College,Southern Intercol. Ath. Conf.,II,,AL
Saint Anselm College,Northeast-10 Conference,II,,NH
Saint Augustine's University,Central Intercollegiate Athletic Association,II,,NC
St. Cloud State University,Northern Sun Intercollegiate Conference,II,,MN
St. Edward's University,Heartland Conference,II,,TX
Saint Joseph's College (Indiana),Great Lakes Valley Conference,II,,IN
Saint Leo University,Sunshine State Conference,II,,FL
Saint Martin's University,Great Northwest Athletic Conference,II,,WA
St. Mary's University (Texas),Heartland Conference,II,,TX
Saint Michael's College,Northeast-10 Conference,II,,VT
The College of Saint Rose,Northeast-10 Conference,II,,NY
St. Thomas Aquinas College,East Coast Conference,II,,NY
Stillman College,Southern Intercol. Ath. Conf.,II,,AL
Stonehill College,Northeast-10 Conference,II,,MA
University of Tampa,Sunshine State Conference,II,,FL
Tarleton State University,Lone Star Conference,II,,TX
Texas A&M; International University,Heartland Conference,II,,TX
Texas A&M; University-Commerce,Lone Star Conference,II,,TX
Texas A&M; University-Kingsville,Lone Star Conference,II,,TX
University of Texas of the Permian Basin,Heartland Conference,II,,TX
Texas Woman's University,Lone Star Conference,II,,TX
Tiffin University,Great Lakes Intercollegiate Athletic Conference,II,,OH
Trevecca Nazarene University,Great Midwest Athletic Conference,II,,TN
Truman State University,Great Lakes Valley Conference,II,,MO
Tusculum College,South Atlantic Conference,II,,TN
Tuskegee University,Southern Intercol. Ath. Conf.,II,,AL
Union University,Gulf South Conference,II,,TN
Upper Iowa University,Northern Sun Intercollegiate Conference,II,,IA
Urbana University,Mountain East Conference,II,,OH
Ursuline College,Great Midwest Athletic Conference,II,,OH
Valdosta State University,Gulf South Conference,II,,GA
The University of Virginia's College at Wise,Mountain East Conference,II,,VA
Virginia State University,Central Intercollegiate Athletic Association,II,,VA
Virginia Union University,Central Intercollegiate Athletic Association,II,,VA
Walsh University,Great Lakes Intercollegiate Athletic Conference,II,,OH
Washburn University of Topeka,Mid-America Intercollegiate Athletics Association,II,,KS
Wayne State University (Michigan),Great Lakes Intercollegiate Athletic Conference,II,,MI
Wayne State College (Nebraska),Northern Sun Intercollegiate Conference,II,,NE
University of West Alabama,Gulf South Conference,II,,AL
West Chester University of Pennsylvania,Pennsylvania State Athletic Conference,II,,PA
University of West Florida,Gulf South Conference,II,,FL
University of West Georgia,Gulf South Conference,II,,GA
West Liberty University,Mountain East Conference,II,,WV
West Texas A&M; University,Lone Star Conference,II,,TX
West Virginia State University,Mountain East Conference,II,,WV
West Virginia Wesleyan College,Mountain East Conference,II,,WV
Western New Mexico University,Rocky Mountain Athletic Conference,II,,NM
Western Oregon University,Great Northwest Athletic Conference,II,,OR
Western State Colorado University,Rocky Mountain Athletic Conference,II,,CO
Western Washington University,Great Northwest Athletic Conference,II,,WA
Westminster College (Utah),,II,,UT
Wheeling Jesuit University,Mountain East Conference,II,,WV
William Jewell College,Great Lakes Valley Conference,II,,MO
Wilmington University (Delaware),Central Atlantic Collegiate Conference,II,,DE
Wingate University,South Atlantic Conference,II,,NC
Winona State University,Northern Sun Intercollegiate Conference,II,,MN
Winston-Salem State University,Central Intercollegiate Athletic Association,II,,NC
"University of Wisconsin, Parkside",Great Lakes Valley Conference,II,,WI
Young Harris College,Peach Belt Conference,II,,GA
Adrian College,Michigan Intercol. Ath. Assn.,III,,MI
Agnes Scott College,Great South Athletic Conference,III,,GA
Albertus Magnus College,Great Northeast Athletic Conference,III,,CT
Albion College,Michigan Intercol. Ath. Assn.,III,,MI
Albright College,Middle Atlantic Conferences,III,,PA
Alfred State College,Eastern College Athletic Conference,III,,NY
Alfred University,Empire 8,III,,NY
Allegheny College,North Coast Athletic Conference,III,,PA
Alma College,Michigan Intercol. Ath. Assn.,III,,MI
Alvernia University,Middle Atlantic Conference Commonwealth,III,,PA
Alverno College,Northern Athletics Collegiate Conference,III,,WI
Amherst College,New England Small College Athletic Conference,III,,MA
Anderson University (Indiana),Heartland Collegiate Athletic Conference,III,,IN
Anna Maria College,Great Northeast Athletic Conference,III,,MA
Arcadia University,Middle Atlantic Conference Commonwealth,III,,PA
Augsburg College,Minnesota Intercollegiate Athletic Conference,III,,MN
Augustana College (Illinois),College Conference of Illinois & Wisconsin,III,,IL
Aurora University,Northern Athletics Collegiate Conference,III,,IL
Austin College,Southern Collegiate Athletic Conference,III,,TX
Averett University,USA South Athletic Conference,III,,VA
Babson College,New England Women's and Men's Athletic Conference,III,,MA
Baldwin Wallace University,Ohio Athletic Conference,III,,OH
Bard College,Liberty League,III,,NY
Baruch College,City University of New York Athletic Conference,III,,NY
Bates College,New England Small College Athletic Conference,III,,ME
Bay Path University,New England Collegiate Conference,III,,MA
Becker College,New England Collegiate Conference,III,,MA
Belhaven University,American Southwest Conference,III,,MS
Beloit College,Midwest Conference,III,,WI
Benedictine University (Illinois),Northern Athletics Collegiate Conference,III,,IL
Berea College,,III,,KY
Berry College,Southern Athletic Association,III,,GA
Bethany College (West Virginia),Presidents' Athletic Conference,III,,WV
Bethany Lutheran College,Upper Midwest Athletic Conference,III,,MN
Bethel University (Minnesota),Minnesota Intercollegiate Athletic Conference,III,,MN
Birmingham-Southern College,Southern Athletic Association,III,,AL
Blackburn College,St. Louis Intercollegiate Athletic Conference,III,,IL
Bluffton University,Heartland Collegiate Athletic Conference,III,,OH
Bowdoin College,New England Small College Athletic Conference,III,,ME
Brandeis University,University Athletic Association,III,,MA
Bridgewater College (Virginia),Old Dominion Athletic Conf.,III,,VA
Bridgewater State University,Massachusetts State Collegiate Athletic Conference,III,,MA
"College at Brockport, State University of New York",State University of New York Athletic Conference,III,,NY
Brooklyn College,City University of New York Athletic Conference,III,,NY
Bryn Athyn College,North Eastern Athletic Conference,III,,PA
Bryn Mawr College,Centennial Conference,III,,PA
Buena Vista University,Iowa Intercol. Athletic Conf.,III,,IA
"Buffalo State, State University of New York",State University of New York Athletic Conference,III,,NY
Cabrini College,Colonial States Athletic Conference,III,,PA
Cairn University,Colonial States Athletic Conference,III,,PA
California Institute of Technology,Southern California Intercollegiate Athletic Conf.,III,,CA
California Lutheran University,Southern California Intercollegiate Athletic Conf.,III,,CA
"University of California, Santa Cruz",,III,,CA
Calvin College,Michigan Intercol. Ath. Assn.,III,,MI
State University of New York at Canton,,III,,NY
Capital University,Ohio Athletic Conference,III,,OH
Carleton College,Minnesota Intercollegiate Athletic Conference,III,,MN
Carnegie Mellon University,University Athletic Association,III,,PA
Carroll University (Wisconsin),Midwest Conference,III,,WI
Carthage College,College Conference of Illinois & Wisconsin,III,,WI
Case Western Reserve University,University Athletic Association,III,,OH
Castleton University,North Atlantic Conference,III,,VT
Catholic University,Landmark Conference,III,,DC
Cazenovia College,North Eastern Athletic Conference,III,,NY
Cedar Crest College,Colonial States Athletic Conference,III,,PA
Centenary College (Louisiana),Southern Collegiate Athletic Conference,III,,LA
Centenary College (New Jersey),Colonial States Athletic Conference,III,,NJ
Central College (Iowa),Iowa Intercol. Athletic Conf.,III,,IA
Centre College,Southern Athletic Association,III,,KY
Chapman University,Southern California Intercollegiate Athletic Conf.,III,,CA
Chatham University,Presidents' Athletic Conference,III,,PA
University of Chicago,University Athletic Association,III,,IL
Christopher Newport University,Capital Athletic Conference Inc.,III,,VA
The City College of New York,City University of New York Athletic Conference,III,,NY
Claremont McKenna-Harvey Mudd-Scripps Colleges,Southern California Intercollegiate Athletic Conf.,III,,CA
Clark University (Massachusetts),New England Women's and Men's Athletic Conference,III,,MA
Clarkson University,Liberty League,III,,NY
State University of New York at Cobleskill,North Eastern Athletic Conference,III,,NY
Coe College,Iowa Intercol. Athletic Conf.,III,,IA
Colby College,New England Small College Athletic Conference,III,,ME
Colby-Sawyer College,North Atlantic Conference,III,,NH
Colorado College,Southern Collegiate Athletic Conference,III,,CO
"Concordia College, Moorhead",Minnesota Intercollegiate Athletic Conference,III,,MN
Concordia University Chicago,Northern Athletics Collegiate Conference,III,,IL
Concordia University Texas,American Southwest Conference,III,,TX
Concordia University Wisconsin,Northern Athletics Collegiate Conference,III,,WI
Connecticut College,New England Small College Athletic Conference,III,,CT
Cornell College,Midwest Conference,III,,IA
State University of New York at Cortland,State University of New York Athletic Conference,III,,NY
Covenant College,USA South Athletic Conference,III,,GA
Crown College (Minnesota),Upper Midwest Athletic Conference,III,,MN
Curry College,Commonwealth Coast Conference,III,,MA
D'Youville College,Allegheny Mountain Collegiate Conference,III,,NY
University of Dallas,Southern Collegiate Athletic Conference,III,,TX
Daniel Webster College,New England Collegiate Conference,III,,NH
Defiance College,Heartland Collegiate Athletic Conference,III,,OH
Delaware Valley University,Middle Atlantic Conferences,III,,PA
Denison University,North Coast Athletic Conference,III,,OH
DePauw University,North Coast Athletic Conference,III,,IN
DeSales University,Middle Atlantic Conferences,III,,PA
Dickinson College,Centennial Conference,III,,PA
Dominican University (Illinois),Northern Athletics Collegiate Conference,III,,IL
Drew University,Landmark Conference,III,,NJ
University of Dubuque,Iowa Intercol. Athletic Conf.,III,,IA
Earlham College,Heartland Collegiate Athletic Conference,III,,IN
East Texas Baptist University,American Southwest Conference,III,,TX
Eastern Connecticut State University,Little East Conference,III,,CT
Eastern Mennonite University,Old Dominion Athletic Conf.,III,,VA
Eastern Nazarene College,Commonwealth Coast Conference,III,,MA
Eastern University,Middle Atlantic Conference Freedom,III,,PA
Edgewood College,Northern Athletics Collegiate Conference,III,,WI
Elizabethtown College,Landmark Conference,III,,PA
Elmhurst College,College Conference of Illinois & Wisconsin,III,,IL
Elmira College,Empire 8,III,,NY
Elms College,New England Collegiate Conference,III,,MA
Emerson College,New England Women's and Men's Athletic Conference,III,,MA
Emmanuel College (Massachusetts),Great Northeast Athletic Conference,III,,MA
Emory and Henry College,Old Dominion Athletic Conf.,III,,VA
Emory University,University Athletic Association,III,,GA
Endicott College,Commonwealth Coast Conference,III,,MA
Eureka College,St. Louis Intercollegiate Athletic Conference,III,,IL
"Fairleigh Dickinson University, Florham",Middle Atlantic Conferences,III,,NJ
Farmingdale State College,Skyline Conference,III,,NY
Ferrum College,USA South Athletic Conference,III,,VA
Finlandia University,Great South Athletic Conference,III,,MI
Fitchburg State University,Massachusetts State Collegiate Athletic Conference,III,,MA
Fontbonne University,St. Louis Intercollegiate Athletic Conference,III,,MO
Framingham State University,Massachusetts State Collegiate Athletic Conference,III,,MA
Franciscan University of Steubenville,Allegheny Mountain Collegiate Conference,III,,OH
Franklin & Marshall College,Centennial Conference,III,,PA
Franklin College,Heartland Collegiate Athletic Conference,III,,IN
The State University of New York at Fredonia,State University of New York Athletic Conference,III,,NY
Frostburg State University,Capital Athletic Conference Inc.,III,,MD
Gallaudet University,North Eastern Athletic Conference,III,,DC
State University of New York at Geneseo,State University of New York Athletic Conference,III,,NY
Geneva College,Presidents' Athletic Conference,III,,PA
George Fox University,Northwest Conference,III,,OR
Gettysburg College,Centennial Conference,III,,PA
Gordon College,Commonwealth Coast Conference,III,,MA
Goucher College,Landmark Conference,III,,MD
Green Mountain College,North Atlantic Conference,III,,VT
Greensboro College,USA South Athletic Conference,III,,NC
Greenville College,St. Louis Intercollegiate Athletic Conference,III,,IL
Grinnell College,Midwest Conference,III,,IA
Grove City College,Presidents' Athletic Conference,III,,PA
Guilford College,Old Dominion Athletic Conf.,III,,NC
Gustavus Adolphus College,Minnesota Intercollegiate Athletic Conference,III,,MN
Gwynedd Mercy University,Colonial States Athletic Conference,III,,PA
Hamilton College,New England Small College Athletic Conference,III,,NY
Hamline University,Minnesota Intercollegiate Athletic Conference,III,,MN
Hampden-Sydney College,Old Dominion Athletic Conf.,III,,VA
Hanover College,Heartland Collegiate Athletic Conference,III,,IN
Hardin-Simmons University,American Southwest Conference,III,,TX
Hartwick College,Empire 8,III,,NY
Haverford College,Centennial Conference,III,,PA
Heidelberg University,Ohio Athletic Conference,III,,OH
Hendrix College,Southern Athletic Association,III,,AR
Hilbert College,Allegheny Mountain Collegiate Conference,III,,NY
Hiram College,North Coast Athletic Conference,III,,OH
Hobart and William Smith Colleges,Liberty League,III,,NY
Hollins University,Old Dominion Athletic Conf.,III,,VA
Hood College,Middle Atlantic Conferences,III,,MD
Hope College,Michigan Intercol. Ath. Assn.,III,,MI
Houghton College,Empire 8,III,,NY
Howard Payne University,American Southwest Conference,III,,TX
Hunter College,City University of New York Athletic Conference,III,,NY
Huntingdon College,USA South Athletic Conference,III,,AL
Husson University,North Atlantic Conference,III,,ME
Illinois College,Midwest Conference,III,,IL
Illinois Institute of Technology,,III,,IL
Illinois Wesleyan University,College Conference of Illinois & Wisconsin,III,,IL
Immaculata University,Colonial States Athletic Conference,III,,PA
Iowa Wesleyan University,St. Louis Intercollegiate Athletic Conference,III,,IA
Ithaca College,Empire 8,III,,NY
John Carroll University,Ohio Athletic Conference,III,,OH
John Jay College of Criminal Justice,City University of New York Athletic Conference,III,,NY
Johns Hopkins University,Centennial Conference,III,,MD
Johnson & Wales University (RI),Great Northeast Athletic Conference,III,,RI
Johnson State College,North Atlantic Conference,III,,VT
Juniata College,Landmark Conference,III,,PA
Kalamazoo College,Michigan Intercol. Ath. Assn.,III,,MI
Kean University,New Jersey Athletic Conference,III,,NJ
Keene State College,Little East Conference,III,,NH
Kenyon College,North Coast Athletic Conference,III,,OH
Keuka College,North Eastern Athletic Conference,III,,NY
Keystone College,Colonial States Athletic Conference,III,,PA
King's College (Pennsylvania),Middle Atlantic Conferences,III,,PA
Knox College,Midwest Conference,III,,IL
La Roche College,Allegheny Mountain Collegiate Conference,III,,PA
University of La Verne,Southern California Intercollegiate Athletic Conf.,III,,CA
LaGrange College,USA South Athletic Conference,III,,GA
Lake Forest College,Midwest Conference,III,,IL
Lakeland College,Northern Athletics Collegiate Conference,III,,WI
Lancaster Bible College,North Eastern Athletic Conference,III,,PA
Lasell College,Great Northeast Athletic Conference,III,,MA
Lawrence University,Midwest Conference,III,,WI
Lebanon Valley College,Middle Atlantic Conference Commonwealth,III,,PA
Lehman College,City University of New York Athletic Conference,III,,NY
Lesley University,New England Collegiate Conference,III,,MA
LeTourneau University,American Southwest Conference,III,,TX
Lewis & Clark College,Northwest Conference,III,,OR
Linfield College,Northwest Conference,III,,OR
Loras College,Iowa Intercol. Athletic Conf.,III,,IA
Louisiana College,American Southwest Conference,III,,LA
Luther College,Iowa Intercol. Athletic Conf.,III,,IA
Lycoming College,Middle Atlantic Conferences,III,,PA
Lynchburg College,Old Dominion Athletic Conf.,III,,VA
Lyndon State College,North Atlantic Conference,III,,VT
Macalester College,Minnesota Intercollegiate Athletic Conference,III,,MN
MacMurray College,St. Louis Intercollegiate Athletic Conference,III,,IL
University of Maine at Presque Isle,,III,,ME
Maine Maritime Academy,North Atlantic Conference,III,,ME
"University of Maine, Farmington",North Atlantic Conference,III,,ME
Manchester University,Heartland Collegiate Athletic Conference,III,,IN
Manhattanville College,Middle Atlantic Conference Freedom,III,,NY
Maranatha Baptist University,,III,,WI
Marian University (Wisconsin),Northern Athletics Collegiate Conference,III,,WI
Marietta College,Ohio Athletic Conference,III,,OH
State University of New York Maritime College,Skyline Conference,III,,NY
Martin Luther College,Upper Midwest Athletic Conference,III,,MN
Mary Baldwin College,USA South Athletic Conference,III,,VA
University of Mary Hardin-Baylor,American Southwest Conference,III,,TX
University of Mary Washington,Capital Athletic Conference Inc.,III,,VA
Marymount University (Virginia),Capital Athletic Conference Inc.,III,,VA
Maryville College (Tennessee),USA South Athletic Conference,III,,TN
Marywood University,Colonial States Athletic Conference,III,,PA
Massachusetts College of Liberal Arts,Massachusetts State Collegiate Athletic Conference,III,,MA
Massachusetts Institute of Technology,New England Women's and Men's Athletic Conference,III,,MA
Massachusetts Maritime Academy,Massachusetts State Collegiate Athletic Conference,III,,MA
University of Massachusetts Boston,Little East Conference,III,,MA
"University of Massachusetts, Dartmouth",Little East Conference,III,,MA
McDaniel College,Centennial Conference,III,,MD
McMurry University,American Southwest Conference,III,III,TX
Medaille College,Allegheny Mountain Collegiate Conference,III,,NY
Medgar Evers College,City University of New York Athletic Conference,III,,NY
Meredith College,USA South Athletic Conference,III,,NC
Messiah College,Middle Atlantic Conference Commonwealth,III,,PA
Methodist University,USA South Athletic Conference,III,,NC
Middlebury College,New England Small College Athletic Conference,III,,VT
Millikin University,College Conference of Illinois & Wisconsin,III,,IL
Mills College,Great South Athletic Conference,III,,CA
Millsaps College,Southern Athletic Association,III,,MS
Milwaukee School of Engineering,Northern Athletics Collegiate Conference,III,,WI
"University of Minnesota, Morris",Upper Midwest Athletic Conference,III,,MN
Misericordia University,Middle Atlantic Conference Freedom,III,,PA
Mitchell College,New England Collegiate Conference,III,,CT
Monmouth College (Illinois),Midwest Conference,III,,IL
Montclair State University,New Jersey Athletic Conference,III,,NJ
Moravian College,Landmark Conference,III,,PA
Morrisville State College,North Eastern Athletic Conference,III,,NY
Mount Aloysius College,Allegheny Mountain Collegiate Conference,III,,PA
Mount Holyoke College,New England Women's and Men's Athletic Conference,III,,MA
Mount Ida College,Great Northeast Athletic Conference,III,,MA
Mount Mary University,Great South Athletic Conference,III,,WI
Mount St. Joseph University,Heartland Collegiate Athletic Conference,III,,OH
Mount Saint Mary College (New York),Skyline Conference,III,,NY
College of Mount St. Vincent,Skyline Conference,III,,NY
University of Mount Union,Ohio Athletic Conference,III,,OH
Muhlenberg College,Centennial Conference,III,,PA
Muskingum University,Ohio Athletic Conference,III,,OH
Nazareth College,Empire 8,III,,NY
Nebraska Wesleyan University,,III,,NE
Neumann University,Colonial States Athletic Conference,III,,PA
University of New England,Commonwealth Coast Conference,III,,ME
New England College,North Atlantic Conference,III,,NH
New Jersey City University,New Jersey Athletic Conference,III,,NJ
The College of New Jersey,New Jersey Athletic Conference,III,,NJ
State University of New York at New Paltz,State University of New York Athletic Conference,III,,NY
College of New Rochelle,,III,,NY
New York University,University Athletic Association,III,,NY
Newbury College,New England Collegiate Conference,III,,MA
Nichols College,Commonwealth Coast Conference,III,,MA
North Carolina Wesleyan College,USA South Athletic Conference,III,,NC
North Central College,College Conference of Illinois & Wisconsin,III,,IL
North Central University,Upper Midwest Athletic Conference,III,,MN
North Park University,College Conference of Illinois & Wisconsin,III,,IL
Northland College,Upper Midwest Athletic Conference,III,,WI
University of Northwestern-St. Paul,Upper Midwest Athletic Conference,III,,MN
Norwich University,Great Northeast Athletic Conference,III,,VT
Notre Dame of Maryland University,Colonial States Athletic Conference,III,,MD
Oberlin College,North Coast Athletic Conference,III,,OH
Occidental College,Southern California Intercollegiate Athletic Conf.,III,,CA
Oglethorpe University,Southern Athletic Association,III,,GA
Ohio Northern University,Ohio Athletic Conference,III,,OH
Ohio Wesleyan University,North Coast Athletic Conference,III,,OH
State University College at Old Westbury,Skyline Conference,III,,NY
Olivet College,Michigan Intercol. Ath. Assn.,III,,MI
State University of New York at Oneonta,State University of New York Athletic Conference,III,,NY
State University of New York at Oswego,State University of New York Athletic Conference,III,,NY
Otterbein University,Ohio Athletic Conference,III,,OH
University of the Ozarks (Arkansas),American Southwest Conference,III,,AR
Pacific Lutheran University,Northwest Conference,III,,WA
Pacific University (Oregon),Northwest Conference,III,,OR
Pennsylvania College of Technology,North Eastern Athletic Conference,III,,PA
"Penn State University, Altoona",Allegheny Mountain Collegiate Conference,III,,PA
"Pennsylvania State Univ. Erie, the Behrend College",Allegheny Mountain Collegiate Conference,III,,PA
Penn State Harrisburg,Capital Athletic Conference Inc.,III,,PA
Penn State Berks College,North Eastern Athletic Conference,III,,PA
"Penn State University, Abington",North Eastern Athletic Conference,III,,PA
Piedmont College,USA South Athletic Conference,III,,GA
Pine Manor College,Great South Athletic Conference,III,,MA
"University of Pittsburgh, Bradford",Allegheny Mountain Collegiate Conference,III,,PA
"University of Pittsburgh, Greensburg",Allegheny Mountain Collegiate Conference,III,,PA
Plattsburgh State University of New York,State University of New York Athletic Conference,III,,NY
Plymouth State University,Little East Conference,III,,NH
Pomona-Pitzer Colleges,Southern California Intercollegiate Athletic Conf.,III,,CA
State University of New York at Potsdam,State University of New York Athletic Conference,III,,NY
Principia College,St. Louis Intercollegiate Athletic Conference,III,,IL
University of Puget Sound,Northwest Conference,III,,WA
"Purchase College, State University of New York",Skyline Conference,III,,NY
Ramapo College,New Jersey Athletic Conference,III,,NJ
Randolph College,Old Dominion Athletic Conf.,III,,VA
Randolph-Macon College,Old Dominion Athletic Conf.,III,,VA
University of Redlands,Southern California Intercollegiate Athletic Conf.,III,,CA
Regis College (Massachusetts),New England Collegiate Conference,III,,MA
Rensselaer Polytechnic Institute,Liberty League,III,,NY
Rhode Island College,Little East Conference,III,,RI
Rhodes College,Southern Athletic Association,III,,TN
Ripon College,Midwest Conference,III,,WI
Rivier University,Great Northeast Athletic Conference,III,,NH
Roanoke College,Old Dominion Athletic Conf.,III,,VA
University of Rochester,University Athletic Association,III,,NY
Rochester Institute of Technology,Liberty League,III,,NY
Rockford University,Northern Athletics Collegiate Conference,III,,IL
Roger Williams University,Commonwealth Coast Conference,III,,RI
Rose-Hulman Institute of Technology,Heartland Collegiate Athletic Conference,III,,IN
Rosemont College,Colonial States Athletic Conference,III,,PA
Rowan University,New Jersey Athletic Conference,III,,NJ
Rust College,,III,,MS
"Rutgers, The State Univ. of New Jersey, Camden",New Jersey Athletic Conference,III,,NJ
"Rutgers, The State Univ. of New Jersey, Newark",New Jersey Athletic Conference,III,,NJ
The Sage Colleges,Skyline Conference,III,,NY
Salem College,Great South Athletic Conference,III,,NC
Salem State University,Massachusetts State Collegiate Athletic Conference,III,,MA
